MCALDT,TMYTM
5/29/92,3.635872336
6/30/92,3.513122745
7/31/92,3.076487377
8/31/92,3.025272143
9/30/92,2.690371875
10/30/92,2.771491118
11/30/92,2.669551817
12/31/92,2.924095647
1/29/93,2.862980897
2/26/93,2.720666832
3/31/93,2.863205687
4/30/93,2.852814982
5/28/93,2.954478474
6/30/93,2.863205687
7/30/93,2.884111212
8/31/93,2.86253146
9/30/93,2.781762355
10/29/93,2.832483438
11/30/93,2.75074611
12/31/93,2.944311692
1/31/94,2.791500965
2/28/94,2.903298782
3/31/94,3.391898999
4/29/94,3.615525957
5/31/94,3.78769532
6/30/94,3.524142336
7/29/94,3.951290532
8/31/94,4.389488136
9/30/94,4.490768656
10/31/94,4.337284428
11/30/94,4.949701218
12/30/94,4.735149843
1/31/95,5.181852587
2/28/95,5.018948883
3/31/95,5.774390974
4/28/95,5.733617461
5/31/95,5.642756507
6/30/95,5.325967486
7/31/95,5.447024659
8/31/95,5.36712076
9/29/95,5.356535865
10/31/95,4.988406867
11/30/95,5.418078023
12/29/95,4.582405082
1/31/96,4.929324409
2/29/96,4.979926905
3/29/96,5.193514566
4/30/96,4.835708286
5/31/96,5.030865253
6/28/96,4.816622603
7/31/96,5.03121255
8/30/96,5.112013199
9/30/96,4.988748244
10/31/96,4.962099072
11/29/96,4.949029026
12/31/96,4.873881135
1/31/97,4.969400694
2/28/97,5.055984599
3/31/97,5.222956127
4/30/97,4.990456065
5/30/97,4.414410943
6/30/97,5.044750239
7/31/97,5.117466153
8/29/97,5.017784956
9/30/97,4.749187596
10/31/97,4.893008931
11/28/97,4.990114376
12/31/97,5.107635375
1/30/98,5.025424776
2/27/98,5.122200532
3/31/98,5.230218822
4/30/98,4.727818721
5/29/98,4.567131801
6/30/98,4.703385015
7/31/98,4.745333599
8/31/98,4.690964197
9/30/98,4.028060362
10/30/98,3.551946008
11/30/98,4.441596191
12/31/98,4.394314674
1/29/99,4.409320622
2/26/99,4.50604085
3/31/99,4.557519561
4/30/99,4.45248731
5/28/99,4.419501288
6/30/99,4.437857964
7/30/99,4.450043866
8/31/99,4.49983885
9/30/99,4.50122802
10/29/99,4.366053866
11/30/99,4.571076135
12/31/99,5.101825964
1/31/00,5.38591083
2/29/00,5.314227908
3/31/00,5.855942645
4/28/00,5.269927718
5/31/00,4.674648843
6/30/00,5.629142403
7/31/00,5.874910303
8/31/00,6.233733054
9/29/00,5.919659199
10/31/00,6.027265776
11/30/00,6.11899301
12/29/00,5.7692942
1/31/01,4.827446506
2/28/01,5.013381386
3/30/01,4.432227257
4/30/01,3.742120939
5/31/01,3.445302943
6/29/01,3.414626168
7/31/01,3.640231975
8/31/01,3.373942181
9/28/01,2.377665821
10/31/01,2.093305297
11/30/01,1.727535072
12/31/01,1.636031946
1/31/02,1.689492803
2/28/02,1.732653839
3/28/02,1.709803656
4/30/02,1.752754977
5/31/02,1.689492803
6/28/02,1.666605495
7/31/02,1.699687775
8/30/02,1.656450902
9/30/02,1.570039381
10/31/02,1.420411333
11/29/02,1.217356633
12/31/02,1.136085811
1/31/03,1.146306235
2/28/03,1.194518492
3/31/03,1.141177847
4/30/03,1.093054267
5/30/03,1.120932233
6/30/03,0.793635469
7/31/03,0.879919727
8/29/03,0.971237825
9/30/03,0.851964889
10/31/03,0.915424914
11/28/03,0.900214819
12/31/03,0.826656353
1/30/04,0.826637626
2/27/04,0.933183253
3/31/04,0.923058944
4/30/04,0.80888105
5/28/04,0.907814287
6/30/04,1.128579278
7/30/04,1.278260716
8/31/04,1.440574731
9/30/04,1.458484682
10/29/04,1.747845699
11/30/04,2.032008429
12/31/04,1.90780532
1/31/05,2.161566276
2/28/05,2.496812142
3/31/05,2.59879095
